class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,14.38,f,g,e,f,e,,w,17.12,17.69,s,y,w,u,w,t,g,,d,a
p,14.24,f,g,o,f,e,,w,18.2,18.53,s,y,w,u,w,t,p,,d,a
p,17.79,x,h,o,f,e,,w,17.99,18.33,s,y,w,u,w,t,p,,d,w
p,15.59,x,h,e,f,e,,w,16.83,16.91,s,y,w,u,w,t,g,,d,u
p,17.53,x,h,e,f,e,,w,18.32,18.51,s,y,w,u,w,t,g,,d,u
p,16.38,x,h,e,f,e,,w,19.32,18.55,s,y,w,u,w,t,p,,d,a
p,14.62,f,g,o,f,e,,w,17.31,16.55,s,y,w,u,w,t,g,,d,w
p,12.78,f,g,e,f,e,,w,17.45,17.19,s,y,w,u,w,t,g,,d,a
p,17.04,x,g,e,f,e,,w,17.9,18.32,s,y,w,u,w,t,p,,d,u
p,14.06,x,h,o,f,e,,w,17.36,17.83,s,y,w,u,w,t,g,,d,u
p,13.76,x,g,o,f,e,,w,17.16,16.59,s,y,w,u,w,t,g,,d,u
p,13.95,x,g,o,f,e,,w,18.3,17.17,s,y,w,u,w,t,p,,d,w
p,13.4,f,g,e,f,e,,w,15.51,14.51,s,y,w,u,w,t,g,,d,w
p,13.93,f,g,e,f,e,,w,16.43,16.22,s,y,w,u,w,t,p,,d,u
p,17.28,f,h,e,f,e,,w,18.65,17.94,s,y,w,u,w,t,p,,d,u
p,13.81,f,g,e,f,e,,w,17.22,17.42,s,y,w,u,w,t,g,,d,w
p,15.58,x,g,o,f,e,,w,18.57,18.28,s,y,w,u,w,t,p,,d,a
p,14.26,x,g,e,f,e,,w,16.67,15.9,s,y,w,u,w,t,p,,d,u
p,13.05,x,h,e,f,e,,w,17.25,16.92,s,y,w,u,w,t,g,,d,w
p,17.04,f,h,o,f,e,,w,18.15,18.12,s,y,w,u,w,t,g,,d,a
p,13.58,f,h,e,f,e,,w,17.25,16.55,s,y,w,u,w,t,g,,d,a
p,14.49,f,h,o,f,e,,w,17.02,17.69,s,y,w,u,w,t,p,,d,u
p,17.18,f,g,o,f,e,,w,19.46,18.68,s,y,w,u,w,t,p,,d,a
p,15.72,x,h,o,f,e,,w,17.55,17.79,s,y,w,u,w,t,g,,d,a
p,15.44,f,h,e,f,e,,w,16.79,16.22,s,y,w,u,w,t,p,,d,a
p,16.79,f,h,e,f,e,,w,17.85,17.49,s,y,w,u,w,t,g,,d,a
p,17.0,f,h,e,f,e,,w,18.19,18.14,s,y,w,u,w,t,g,,d,w
p,16.29,x,g,o,f,e,,w,18.37,18.21,s,y,w,u,w,t,g,,d,a
p,17.15,f,h,e,f,e,,w,17.93,18.16,s,y,w,u,w,t,p,,d,u
p,13.56,x,g,o,f,e,,w,16.72,16.57,s,y,w,u,w,t,g,,d,a
p,14.42,x,g,o,f,e,,w,17.76,17.58,s,y,w,u,w,t,p,,d,a
p,11.79,x,g,o,f,e,,w,16.18,15.79,s,y,w,u,w,t,p,,d,w
p,14.38,x,g,e,f,e,,w,17.52,18.23,s,y,w,u,w,t,p,,d,w
p,15.32,f,g,e,f,e,,w,18.92,18.8,s,y,w,u,w,t,g,,d,u
p,14.49,x,h,o,f,e,,w,17.45,18.1,s,y,w,u,w,t,p,,d,w
p,15.17,f,h,o,f,e,,w,19.28,18.56,s,y,w,u,w,t,p,,d,w
p,13.55,f,h,e,f,e,,w,17.25,17.26,s,y,w,u,w,t,g,,d,u
p,15.3,f,g,o,f,e,,w,18.11,17.92,s,y,w,u,w,t,g,,d,w
p,15.38,x,g,o,f,e,,w,17.26,16.88,s,y,w,u,w,t,p,,d,w
p,12.43,x,h,o,f,e,,w,16.19,16.97,s,y,w,u,w,t,g,,d,u
p,14.01,f,g,o,f,e,,w,18.09,18.42,s,y,w,u,w,t,g,,d,a
p,12.99,x,h,e,f,e,,w,17.06,16.65,s,y,w,u,w,t,p,,d,w
p,15.96,f,h,e,f,e,,w,17.35,17.09,s,y,w,u,w,t,g,,d,u
p,13.46,x,h,o,f,e,,w,17.04,17.7,s,y,w,u,w,t,p,,d,u
p,15.55,f,g,o,f,e,,w,18.01,18.2,s,y,w,u,w,t,p,,d,a
p,16.06,x,g,e,f,e,,w,18.62,18.81,s,y,w,u,w,t,g,,d,u
p,16.01,f,h,o,f,e,,w,17.69,18.74,s,y,w,u,w,t,p,,d,a
p,14.11,f,h,e,f,e,,w,17.56,18.09,s,y,w,u,w,t,g,,d,w
p,12.1,x,h,e,f,e,,w,17.26,16.98,s,y,w,u,w,t,g,,d,a
p,14.74,f,g,o,f,e,,w,16.72,16.4,s,y,w,u,w,t,p,,d,a
p,13.02,x,h,e,f,e,,w,17.21,15.96,s,y,w,u,w,t,p,,d,w
p,14.76,x,h,e,f,e,,w,16.86,17.76,s,y,w,u,w,t,g,,d,w
p,12.98,f,h,e,f,e,,w,17.84,17.9,s,y,w,u,w,t,g,,d,u
p,12.64,f,h,o,f,e,,w,16.38,15.96,s,y,w,u,w,t,g,,d,u
p,15.75,f,h,e,f,e,,w,17.9,18.13,s,y,w,u,w,t,p,,d,w
p,14.6,f,h,e,f,e,,w,17.83,17.51,s,y,w,u,w,t,p,,d,u
p,14.26,f,g,e,f,e,,w,16.46,16.89,s,y,w,u,w,t,g,,d,u
p,15.38,x,h,o,f,e,,w,18.45,17.61,s,y,w,u,w,t,g,,d,w
p,16.39,x,g,o,f,e,,w,16.29,17.25,s,y,w,u,w,t,g,,d,w
p,15.44,f,g,o,f,e,,w,18.85,18.45,s,y,w,u,w,t,g,,d,u
p,14.75,x,g,e,f,e,,w,17.08,16.87,s,y,w,u,w,t,p,,d,a
p,18.7,f,g,e,f,e,,w,18.65,17.99,s,y,w,u,w,t,g,,d,u
p,14.47,x,h,e,f,e,,w,17.42,18.22,s,y,w,u,w,t,g,,d,u
p,13.38,x,g,o,f,e,,w,16.6,16.5,s,y,w,u,w,t,p,,d,u
p,15.14,x,g,e,f,e,,w,17.04,18.13,s,y,w,u,w,t,p,,d,u
p,15.19,f,h,e,f,e,,w,18.09,19.14,s,y,w,u,w,t,p,,d,w
p,10.93,x,g,o,f,e,,w,16.61,17.11,s,y,w,u,w,t,p,,d,w
p,16.11,f,h,o,f,e,,w,17.09,17.92,s,y,w,u,w,t,p,,d,a
p,19.16,x,h,o,f,e,,w,17.9,18.64,s,y,w,u,w,t,g,,d,a
p,14.65,x,h,e,f,e,,w,16.52,17.14,s,y,w,u,w,t,g,,d,w
p,16.41,f,g,e,f,e,,w,17.81,18.48,s,y,w,u,w,t,p,,d,w
p,14.77,f,h,o,f,e,,w,17.21,17.57,s,y,w,u,w,t,p,,d,w
p,14.99,f,g,o,f,e,,w,17.67,17.44,s,y,w,u,w,t,g,,d,u
p,15.08,x,h,e,f,e,,w,18.78,19.17,s,y,w,u,w,t,p,,d,u
p,15.98,x,g,o,f,e,,w,17.32,17.13,s,y,w,u,w,t,p,,d,u
p,15.52,x,h,o,f,e,,w,16.73,18.1,s,y,w,u,w,t,p,,d,u
p,15.53,f,h,e,f,e,,w,17.97,17.68,s,y,w,u,w,t,g,,d,u
p,15.42,f,g,o,f,e,,w,17.15,16.85,s,y,w,u,w,t,g,,d,w
p,14.62,f,g,e,f,e,,w,17.1,17.79,s,y,w,u,w,t,g,,d,a
p,17.9,f,h,o,f,e,,w,18.58,17.28,s,y,w,u,w,t,p,,d,w
p,17.67,f,g,o,f,e,,w,17.46,18.0,s,y,w,u,w,t,g,,d,w
p,16.8,x,h,o,f,e,,w,19.19,18.53,s,y,w,u,w,t,p,,d,a
p,16.59,x,g,e,f,e,,w,18.83,19.37,s,y,w,u,w,t,p,,d,a
p,14.63,f,g,o,f,e,,w,17.01,17.59,s,y,w,u,w,t,g,,d,a
p,17.08,x,h,e,f,e,,w,18.0,18.01,s,y,w,u,w,t,g,,d,a
p,13.89,f,h,e,f,e,,w,17.7,18.24,s,y,w,u,w,t,p,,d,w
p,11.97,x,h,o,f,e,,w,18.09,17.03,s,y,w,u,w,t,g,,d,a
p,16.4,x,h,o,f,e,,w,18.09,17.67,s,y,w,u,w,t,p,,d,w
p,16.82,f,h,o,f,e,,w,18.58,19.15,s,y,w,u,w,t,g,,d,u
p,11.59,f,g,e,f,e,,w,15.69,15.97,s,y,w,u,w,t,p,,d,a
p,15.98,x,h,o,f,e,,w,17.6,18.34,s,y,w,u,w,t,p,,d,u
p,14.93,f,g,o,f,e,,w,18.25,18.07,s,y,w,u,w,t,p,,d,u
p,12.73,x,g,e,f,e,,w,17.49,16.82,s,y,w,u,w,t,p,,d,a
p,13.62,x,g,o,f,e,,w,16.83,16.73,s,y,w,u,w,t,g,,d,u
p,17.49,x,g,o,f,e,,w,18.14,17.72,s,y,w,u,w,t,g,,d,u
p,17.54,x,h,e,f,e,,w,18.15,19.36,s,y,w,u,w,t,p,,d,a
p,12.95,x,h,o,f,e,,w,16.36,16.47,s,y,w,u,w,t,p,,d,u
p,10.73,f,h,e,f,e,,w,16.52,15.55,s,y,w,u,w,t,p,,d,u
p,14.05,x,h,e,f,e,,w,18.99,18.55,s,y,w,u,w,t,p,,d,a
p,13.01,x,h,o,f,e,,w,16.38,16.83,s,y,w,u,w,t,g,,d,w
p,15.32,f,g,e,f,e,,w,17.76,17.27,s,y,w,u,w,t,p,,d,w
p,17.87,f,g,e,f,e,,w,17.57,17.72,s,y,w,u,w,t,p,,d,a
p,12.88,f,h,o,f,e,,w,16.62,15.63,s,y,w,u,w,t,p,,d,a
p,18.25,f,h,o,f,e,,w,17.84,17.64,s,y,w,u,w,t,g,,d,w
p,12.99,x,g,e,f,e,,w,17.27,17.72,s,y,w,u,w,t,g,,d,w
p,13.99,x,g,e,f,e,,w,17.87,17.75,s,y,w,u,w,t,p,,d,w
p,18.39,f,h,e,f,e,,w,18.31,18.84,s,y,w,u,w,t,p,,d,a
p,14.79,f,h,e,f,e,,w,17.49,16.97,s,y,w,u,w,t,p,,d,u
p,15.14,x,h,o,f,e,,w,16.76,17.02,s,y,w,u,w,t,g,,d,w
p,14.44,x,g,e,f,e,,w,16.52,16.57,s,y,w,u,w,t,g,,d,u
p,13.63,x,h,e,f,e,,w,16.6,16.52,s,y,w,u,w,t,p,,d,u
p,14.56,f,g,e,f,e,,w,17.5,17.6,s,y,w,u,w,t,p,,d,w
p,15.21,x,g,e,f,e,,w,16.79,16.88,s,y,w,u,w,t,g,,d,w
p,14.63,x,g,e,f,e,,w,17.19,17.77,s,y,w,u,w,t,g,,d,w
p,16.52,x,h,e,f,e,,w,17.67,18.51,s,y,w,u,w,t,p,,d,u
p,14.73,x,h,o,f,e,,w,17.02,18.32,s,y,w,u,w,t,g,,d,u
p,16.16,x,h,e,f,e,,w,17.02,16.83,s,y,w,u,w,t,g,,d,a
p,15.71,x,h,e,f,e,,w,18.26,17.75,s,y,w,u,w,t,p,,d,u
p,15.9,x,g,o,f,e,,w,18.43,18.45,s,y,w,u,w,t,p,,d,u
p,13.1,f,g,e,f,e,,w,17.26,17.72,s,y,w,u,w,t,p,,d,u
p,16.12,x,h,o,f,e,,w,17.11,17.34,s,y,w,u,w,t,p,,d,a
p,12.4,x,h,e,f,e,,w,16.27,15.82,s,y,w,u,w,t,g,,d,u
p,15.44,x,g,e,f,e,,w,17.5,17.14,s,y,w,u,w,t,g,,d,w
p,15.63,x,h,e,f,e,,w,18.7,17.8,s,y,w,u,w,t,p,,d,a
p,13.88,f,g,e,f,e,,w,17.74,18.46,s,y,w,u,w,t,g,,d,a
p,13.64,f,h,o,f,e,,w,16.22,17.26,s,y,w,u,w,t,g,,d,w
p,14.35,f,g,e,f,e,,w,17.27,17.91,s,y,w,u,w,t,g,,d,a
p,16.37,f,g,o,f,e,,w,18.37,18.7,s,y,w,u,w,t,g,,d,a
p,14.84,x,g,e,f,e,,w,17.0,17.91,s,y,w,u,w,t,g,,d,w
p,13.65,f,g,o,f,e,,w,16.65,17.01,s,y,w,u,w,t,p,,d,u
p,14.13,f,h,e,f,e,,w,17.31,16.74,s,y,w,u,w,t,g,,d,u
p,14.74,f,h,e,f,e,,w,17.06,16.94,s,y,w,u,w,t,g,,d,a
p,12.24,f,g,o,f,e,,w,16.67,18.0,s,y,w,u,w,t,g,,d,u
p,14.22,x,h,o,f,e,,w,17.94,18.18,s,y,w,u,w,t,g,,d,u
p,14.99,x,g,o,f,e,,w,17.68,17.99,s,y,w,u,w,t,g,,d,u
p,16.91,x,g,e,f,e,,w,17.7,17.39,s,y,w,u,w,t,g,,d,u
p,16.21,x,g,o,f,e,,w,18.05,17.9,s,y,w,u,w,t,p,,d,u
p,13.11,f,g,o,f,e,,w,16.49,16.78,s,y,w,u,w,t,g,,d,u
p,9.92,f,g,e,f,e,,w,15.32,15.98,s,y,w,u,w,t,p,,d,w
p,15.52,f,h,o,f,e,,w,17.53,17.14,s,y,w,u,w,t,p,,d,u
p,12.09,x,g,e,f,e,,w,16.79,17.48,s,y,w,u,w,t,p,,d,w
p,16.34,f,h,e,f,e,,w,18.15,17.73,s,y,w,u,w,t,g,,d,u
p,14.09,x,g,e,f,e,,w,16.95,17.79,s,y,w,u,w,t,p,,d,u
p,14.13,f,h,e,f,e,,w,17.17,17.26,s,y,w,u,w,t,g,,d,a
p,18.99,x,h,e,f,e,,w,19.5,18.93,s,y,w,u,w,t,g,,d,u
p,14.11,x,g,e,f,e,,w,18.16,17.28,s,y,w,u,w,t,g,,d,w
p,14.51,f,h,o,f,e,,w,16.92,17.37,s,y,w,u,w,t,g,,d,a
p,15.39,f,h,e,f,e,,w,17.16,16.3,s,y,w,u,w,t,g,,d,a
p,16.22,f,g,e,f,e,,w,18.55,18.38,s,y,w,u,w,t,p,,d,u
p,16.86,x,g,e,f,e,,w,17.99,16.65,s,y,w,u,w,t,g,,d,u
p,15.5,x,g,e,f,e,,w,18.03,17.93,s,y,w,u,w,t,p,,d,w
p,13.51,x,g,o,f,e,,w,16.07,15.77,s,y,w,u,w,t,p,,d,a
p,13.68,x,h,e,f,e,,w,15.84,16.91,s,y,w,u,w,t,g,,d,w
p,16.19,x,h,o,f,e,,w,17.55,17.92,s,y,w,u,w,t,g,,d,u
p,16.36,x,h,o,f,e,,w,18.33,18.24,s,y,w,u,w,t,g,,d,u
p,13.49,x,h,e,f,e,,w,16.32,15.65,s,y,w,u,w,t,g,,d,u
p,13.8,f,h,e,f,e,,w,16.63,15.82,s,y,w,u,w,t,p,,d,u
p,13.67,f,g,e,f,e,,w,17.38,17.29,s,y,w,u,w,t,p,,d,a
p,15.19,f,h,e,f,e,,w,18.18,17.89,s,y,w,u,w,t,g,,d,u
p,14.51,f,g,e,f,e,,w,17.31,16.38,s,y,w,u,w,t,p,,d,w
p,16.08,x,g,e,f,e,,w,18.4,18.61,s,y,w,u,w,t,g,,d,w
p,13.97,f,g,o,f,e,,w,16.95,16.85,s,y,w,u,w,t,g,,d,u
p,13.1,x,g,e,f,e,,w,16.11,16.04,s,y,w,u,w,t,g,,d,u
p,15.45,f,g,e,f,e,,w,17.44,17.93,s,y,w,u,w,t,p,,d,u
p,15.13,f,g,e,f,e,,w,18.1,18.05,s,y,w,u,w,t,g,,d,w
p,11.4,f,h,e,f,e,,w,17.22,16.78,s,y,w,u,w,t,g,,d,u
p,16.53,x,h,e,f,e,,w,17.89,17.22,s,y,w,u,w,t,p,,d,w
p,16.25,f,g,e,f,e,,w,17.82,16.31,s,y,w,u,w,t,g,,d,u
p,18.75,f,g,e,f,e,,w,17.63,18.41,s,y,w,u,w,t,p,,d,a
p,16.8,f,h,o,f,e,,w,17.59,17.53,s,y,w,u,w,t,g,,d,w
p,15.24,x,h,e,f,e,,w,17.91,17.51,s,y,w,u,w,t,g,,d,a
p,17.76,x,g,e,f,e,,w,17.43,17.86,s,y,w,u,w,t,p,,d,u
p,15.42,f,g,o,f,e,,w,17.98,17.84,s,y,w,u,w,t,p,,d,u
p,16.15,f,h,e,f,e,,w,18.41,18.47,s,y,w,u,w,t,g,,d,w
p,15.62,f,g,o,f,e,,w,17.09,15.83,s,y,w,u,w,t,p,,d,u
p,12.88,x,h,o,f,e,,w,16.52,15.83,s,y,w,u,w,t,p,,d,a
p,13.15,x,g,e,f,e,,w,17.35,17.18,s,y,w,u,w,t,g,,d,w
p,17.63,f,h,e,f,e,,w,18.21,18.42,s,y,w,u,w,t,g,,d,u
p,18.24,f,h,o,f,e,,w,19.17,18.76,s,y,w,u,w,t,g,,d,u
p,16.25,x,g,o,f,e,,w,17.18,17.42,s,y,w,u,w,t,p,,d,u
p,17.01,f,g,o,f,e,,w,18.03,17.75,s,y,w,u,w,t,g,,d,w
p,16.96,x,h,e,f,e,,w,18.1,18.18,s,y,w,u,w,t,p,,d,u
p,14.86,f,h,e,f,e,,w,17.05,16.91,s,y,w,u,w,t,p,,d,w
p,14.19,f,g,e,f,e,,w,17.54,16.96,s,y,w,u,w,t,p,,d,u
p,14.57,x,h,e,f,e,,w,18.29,17.89,s,y,w,u,w,t,g,,d,w
p,16.04,f,h,o,f,e,,w,16.15,16.8,s,y,w,u,w,t,p,,d,a
p,17.9,x,h,e,f,e,,w,19.26,19.66,s,y,w,u,w,t,g,,d,a
p,13.86,x,h,e,f,e,,w,17.13,17.67,s,y,w,u,w,t,g,,d,a
p,14.85,f,g,e,f,e,,w,15.59,16.59,s,y,w,u,w,t,p,,d,w
p,17.11,f,g,o,f,e,,w,19.24,19.68,s,y,w,u,w,t,g,,d,u
p,12.77,f,h,o,f,e,,w,17.41,17.75,s,y,w,u,w,t,g,,d,a
p,13.21,f,g,o,f,e,,w,17.84,17.76,s,y,w,u,w,t,p,,d,w
p,14.54,x,h,o,f,e,,w,16.9,16.88,s,y,w,u,w,t,p,,d,u
p,14.85,f,g,e,f,e,,w,18.01,18.09,s,y,w,u,w,t,p,,d,u
p,14.74,x,g,e,f,e,,w,17.25,17.38,s,y,w,u,w,t,g,,d,a
p,14.47,f,g,o,f,e,,w,18.33,17.38,s,y,w,u,w,t,p,,d,w
p,15.41,f,g,e,f,e,,w,16.93,17.36,s,y,w,u,w,t,p,,d,w
p,15.24,x,h,o,f,e,,w,18.32,18.34,s,y,w,u,w,t,g,,d,a
p,16.36,f,g,e,f,e,,w,17.37,16.85,s,y,w,u,w,t,g,,d,w
p,14.52,f,h,e,f,e,,w,18.09,18.19,s,y,w,u,w,t,p,,d,a
p,16.05,f,h,e,f,e,,w,18.03,17.02,s,y,w,u,w,t,g,,d,u
p,14.11,x,h,e,f,e,,w,16.78,16.08,s,y,w,u,w,t,p,,d,u
p,14.01,f,g,o,f,e,,w,16.88,16.94,s,y,w,u,w,t,p,,d,u
p,13.95,f,h,o,f,e,,w,19.51,18.7,s,y,w,u,w,t,p,,d,u
p,14.44,x,g,e,f,e,,w,18.65,17.59,s,y,w,u,w,t,p,,d,w
p,17.62,x,g,e,f,e,,w,20.11,19.12,s,y,w,u,w,t,p,,d,w
p,14.88,x,h,e,f,e,,w,18.12,18.9,s,y,w,u,w,t,p,,d,w
p,13.53,x,g,e,f,e,,w,16.32,18.11,s,y,w,u,w,t,g,,d,w
p,15.98,x,h,o,f,e,,w,18.76,19.29,s,y,w,u,w,t,g,,d,a
p,14.5,f,g,o,f,e,,w,17.55,17.46,s,y,w,u,w,t,p,,d,w
p,15.67,x,g,o,f,e,,w,18.6,18.72,s,y,w,u,w,t,p,,d,a
p,16.49,x,g,e,f,e,,w,17.33,18.34,s,y,w,u,w,t,p,,d,w
p,13.06,f,h,e,f,e,,w,17.68,17.39,s,y,w,u,w,t,p,,d,a
p,13.82,x,g,e,f,e,,w,17.65,17.04,s,y,w,u,w,t,g,,d,a
p,15.32,x,g,e,f,e,,w,15.9,17.1,s,y,w,u,w,t,p,,d,w
p,14.45,x,g,o,f,e,,w,17.26,18.05,s,y,w,u,w,t,g,,d,u
p,16.33,x,g,o,f,e,,w,18.86,17.93,s,y,w,u,w,t,p,,d,u
p,16.9,f,g,o,f,e,,w,17.53,16.88,s,y,w,u,w,t,p,,d,w
p,12.03,x,h,e,f,e,,w,17.14,17.43,s,y,w,u,w,t,g,,d,a
p,12.37,x,h,e,f,e,,w,17.17,17.64,s,y,w,u,w,t,p,,d,a
p,16.55,f,g,o,f,e,,w,18.44,18.51,s,y,w,u,w,t,p,,d,u
p,15.09,f,h,o,f,e,,w,18.54,18.5,s,y,w,u,w,t,g,,d,a
p,14.31,f,h,e,f,e,,w,17.09,15.96,s,y,w,u,w,t,g,,d,a
p,16.43,f,g,e,f,e,,w,17.53,17.35,s,y,w,u,w,t,g,,d,w
p,15.27,f,h,o,f,e,,w,18.22,17.87,s,y,w,u,w,t,g,,d,w
p,14.42,x,g,o,f,e,,w,17.52,18.58,s,y,w,u,w,t,p,,d,u
p,15.44,x,g,o,f,e,,w,17.8,17.85,s,y,w,u,w,t,g,,d,w
p,15.9,f,h,e,f,e,,w,18.38,17.72,s,y,w,u,w,t,g,,d,a
p,14.04,f,g,e,f,e,,w,17.16,17.64,s,y,w,u,w,t,g,,d,a
p,14.45,f,h,e,f,e,,w,17.9,17.57,s,y,w,u,w,t,g,,d,a
p,13.6,x,h,e,f,e,,w,16.81,15.61,s,y,w,u,w,t,g,,d,w
p,18.76,x,h,e,f,e,,w,17.06,17.18,s,y,w,u,w,t,g,,d,w
p,17.93,x,g,e,f,e,,w,17.77,17.93,s,y,w,u,w,t,p,,d,u
p,14.94,x,g,o,f,e,,w,17.72,17.81,s,y,w,u,w,t,p,,d,a
p,16.54,x,g,e,f,e,,w,19.06,18.61,s,y,w,u,w,t,g,,d,a
p,15.0,f,h,o,f,e,,w,18.88,18.97,s,y,w,u,w,t,g,,d,w
p,14.51,x,g,o,f,e,,w,16.66,18.59,s,y,w,u,w,t,g,,d,u
p,15.66,x,h,o,f,e,,w,16.69,17.72,s,y,w,u,w,t,g,,d,a
p,16.26,x,h,e,f,e,,w,16.7,16.65,s,y,w,u,w,t,g,,d,w
p,14.18,x,g,o,f,e,,w,17.23,16.91,s,y,w,u,w,t,g,,d,u
p,14.78,x,g,o,f,e,,w,17.11,17.56,s,y,w,u,w,t,g,,d,a
p,17.04,f,g,e,f,e,,w,18.63,18.01,s,y,w,u,w,t,p,,d,a
p,15.63,x,h,o,f,e,,w,17.91,17.84,s,y,w,u,w,t,p,,d,w
p,15.3,x,h,o,f,e,,w,17.99,17.86,s,y,w,u,w,t,p,,d,w
p,17.49,x,g,o,f,e,,w,17.42,17.9,s,y,w,u,w,t,p,,d,u
p,15.03,x,g,e,f,e,,w,17.37,17.01,s,y,w,u,w,t,g,,d,w
p,14.71,f,h,o,f,e,,w,15.83,15.67,s,y,w,u,w,t,p,,d,w
p,14.96,f,g,e,f,e,,w,17.71,17.75,s,y,w,u,w,t,g,,d,w
p,14.15,x,g,o,f,e,,w,17.95,17.27,s,y,w,u,w,t,g,,d,u
p,13.85,f,g,e,f,e,,w,16.5,17.42,s,y,w,u,w,t,g,,d,u
p,16.94,x,h,e,f,e,,w,17.91,17.7,s,y,w,u,w,t,g,,d,w
p,16.03,f,g,e,f,e,,w,16.19,16.82,s,y,w,u,w,t,p,,d,a
p,17.26,x,h,e,f,e,,w,18.83,18.36,s,y,w,u,w,t,g,,d,w
p,14.27,f,h,o,f,e,,w,17.32,16.73,s,y,w,u,w,t,p,,d,w
p,15.36,x,g,o,f,e,,w,18.6,17.77,s,y,w,u,w,t,g,,d,w
p,14.81,f,h,o,f,e,,w,18.3,18.78,s,y,w,u,w,t,p,,d,u
p,12.17,x,g,e,f,e,,w,16.19,16.15,s,y,w,u,w,t,p,,d,a
p,16.98,x,g,e,f,e,,w,16.98,18.04,s,y,w,u,w,t,g,,d,a
p,17.02,x,h,o,f,e,,w,16.14,15.68,s,y,w,u,w,t,g,,d,u
p,16.03,x,h,e,f,e,,w,17.25,17.27,s,y,w,u,w,t,p,,d,a
